~id,~from,~to,~label
1,353625C,280667188425610,Reg_With_Device
2,643526A,380114121580178,Reg_With_Device
3,745353B,644980329816617,Reg_With_Device
4,345627C,596906292610440,Reg_With_Device
5,276463A,743301625413750,Reg_With_Device
6,452625D,833481800928839,Reg_With_Device
7,786528H,368594991375384,Reg_With_Device
8,787654F,99952780018429,Reg_With_Device
9,243567C,1706108368266,Reg_With_Device
10,657394D,332124526178224,Reg_With_Device
11,886453A,161076227953783,Reg_With_Device
12,237865D,763779169374795,Reg_With_Device
13,846472A,750418959964461,Reg_With_Device
14,123348D,986219409323792,Reg_With_Device
15,878765E,835768757086214,Reg_With_Device
16,758576D,649525610441174,Reg_With_Device
17,454637D,101923392216005,Reg_With_Device
18,363285C,778780943584533,Reg_With_Device
19,425399W,23987577527321,Reg_With_Device
20,552576G,133800990320089,Reg_With_Device
21,055693X,739984860700385,Reg_With_Device
22,872661Y,279811944229417,Reg_With_Device
23,085271W,493762969054464,Reg_With_Device
24,902274J,674794142005088,Reg_With_Device
25,690596K,619422643410462,Reg_With_Device
26,894435R,707053680454883,Reg_With_Device
27,832624I,143116455735186,Reg_With_Device
28,590777M,711157401720376,Reg_With_Device
29,460536D,402802108925349,Reg_With_Device
30,307731Y,333341654198423,Reg_With_Device
31,248531X,534912666861823,Reg_With_Device
32,080059I,532609978726386,Reg_With_Device
33,909428P,36605997091746,Reg_With_Device
34,187240K,530466043772961,Reg_With_Device
35,477480L,402243452066678,Reg_With_Device
36,140320I,931161533321269,Reg_With_Device
37,074886H,829475664288615,Reg_With_Device
38,218685B,736162832407999,Reg_With_Device
39,008801T,342164224468710,Reg_With_Device
40,081126F,733252652704412,Reg_With_Device
41,284812W,489360967344370,Reg_With_Device
42,933459V,237941146129251,Reg_With_Device
43,232621M,87627208175489,Reg_With_Device
44,739587T,372838016174624,Reg_With_Device
45,258473K,796098292741289,Reg_With_Device
46,073726Y,808820165365690,Reg_With_Device
47,085782V,359439256721616,Reg_With_Device
48,024794J,104275779574821,Reg_With_Device
49,752294J,544106602862886,Reg_With_Device
50,462349Q,506813992878257,Reg_With_Device
51,669795M,822418016808488,Reg_With_Device
52,044867F,936835985795714,Reg_With_Device
53,378695A,950464153890229,Reg_With_Device
54,359929K,778533176818850,Reg_With_Device
55,680439Y,270291749992828,Reg_With_Device
56,856479J,200439253236908,Reg_With_Device
57,699713N,932045547844804,Reg_With_Device
58,653407Q,213246784315145,Reg_With_Device
59,581475M,676730708856785,Reg_With_Device
60,420655A,572609298658935,Reg_With_Device
61,448218T,949223942882265,Reg_With_Device
62,245982S,730355783213777,Reg_With_Device
63,794700N,884137259947928,Reg_With_Device
64,751061F,546729772273285,Reg_With_Device
65,939997E,906689022854638,Reg_With_Device
66,742256H,923102707634637,Reg_With_Device
67,300542L,440380337964448,Reg_With_Device
68,050555Z,782387013092992,Reg_With_Device
69,840243E,926080299996297,Reg_With_Device
70,801744V,268065893898983,Reg_With_Device
71,704246G,276898704385078,Reg_With_Device
72,345267P,207186327804960,Reg_With_Device
73,090476V,370142423205248,Reg_With_Device
74,631527A,855044499725753,Reg_With_Device
75,745108K,912008803024254,Reg_With_Device
76,615183U,731669731915354,Reg_With_Device
77,714549N,878574662451933,Reg_With_Device
78,958853E,871736044893008,Reg_With_Device
79,903679S,287859018759729,Reg_With_Device
80,753119H,281113664198143,Reg_With_Device
81,463406G,250994921392766,Reg_With_Device
82,476826C,967891440844329,Reg_With_Device
83,950816W,504366033001470,Reg_With_Device
84,492052Z,412805132308673,Reg_With_Device
85,106251M,265761860855758,Reg_With_Device
86,366392X,460806916575690,Reg_With_Device
87,146361Z,753027598479920,Reg_With_Device
88,634364N,48957375419072,Reg_With_Device
89,133864F,242417840813932,Reg_With_Device
90,429128G,967474035511655,Reg_With_Device
91,242846M,911158968165286,Reg_With_Device
92,423756K,596677396035901,Reg_With_Device
93,568570I,185349600043347,Reg_With_Device
94,234946J,958220555320772,Reg_With_Device
95,601049G,107122157474171,Reg_With_Device
96,228686Z,755764092488334,Reg_With_Device
97,292719H,574109986355711,Reg_With_Device
98,078730J,396531974440744,Reg_With_Device
99,038799A,567375872088356,Reg_With_Device
100,554408X,417073944200929,Reg_With_Device
101,789974K,401463392747374,Reg_With_Device
102,964011K,852040461937322,Reg_With_Device
103,018756I,490706452479044,Reg_With_Device
104,539324K,961893968834135,Reg_With_Device
105,180457S,412498882539916,Reg_With_Device
106,684854T,339794626034916,Reg_With_Device
107,171196H,678833902829998,Reg_With_Device
108,321955I,274979608552873,Reg_With_Device
109,112978V,104733415955632,Reg_With_Device
110,993953W,246206459918986,Reg_With_Device
111,741412X,303654534751171,Reg_With_Device
112,189654W,494347029848253,Reg_With_Device
113,377495Z,872983460036102,Reg_With_Device
114,707521E,63490448237121,Reg_With_Device
115,084182S,185859934125100,Reg_With_Device
116,805158C,758892654301342,Reg_With_Device
117,771641C,36905623223518,Reg_With_Device
118,849654Q,111257715837050,Reg_With_Device
119,120754M,782219214830702,Reg_With_Device
120,711789S,322416205986903,Reg_With_Device
121,324624L,5373449238242,Reg_With_Device
122,967579P,530383195164297,Reg_With_Device
123,875297P,829902474897434,Reg_With_Device
124,323246J,934905231819507,Reg_With_Device
125,799285K,335671209483912,Reg_With_Device
126,848337B,727283063203287,Reg_With_Device
127,591717S,257988745280072,Reg_With_Device
128,306498C,74040564839690,Reg_With_Device
129,590007M,218854624409713,Reg_With_Device
130,270475R,44949033866788,Reg_With_Device
131,357316B,304250452937288,Reg_With_Device
132,371854K,681007332042635,Reg_With_Device
133,589450F,241042138538279,Reg_With_Device
134,892807W,889012709853832,Reg_With_Device
135,599015U,777897371698663,Reg_With_Device
136,801109T,151065023219348,Reg_With_Device
137,689264C,315496445868401,Reg_With_Device
138,427069Q,312454126066127,Reg_With_Device
139,272728S,166767210322928,Reg_With_Device
140,633872J,796657487369223,Reg_With_Device
141,628410W,348105734688419,Reg_With_Device
142,888625L,530788092952599,Reg_With_Device
143,741313L,270268661813686,Reg_With_Device
144,429209H,18752570363161,Reg_With_Device
145,028214T,850968575142438,Reg_With_Device
146,097386W,614961199070028,Reg_With_Device
147,105223E,720446634375049,Reg_With_Device
148,423569I,262029173132624,Reg_With_Device
149,888060E,567846506386300,Reg_With_Device
150,077443E,504486431930507,Reg_With_Device
151,107180S,129464248530068,Reg_With_Device
152,843602Z,698454039267416,Reg_With_Device
153,677400H,351103198205526,Reg_With_Device
154,954365X,883536308947147,Reg_With_Device
155,452336O,494791115452798,Reg_With_Device
156,053575C,287811900806260,Reg_With_Device
157,255422U,312364453905572,Reg_With_Device
158,897716S,386317943944187,Reg_With_Device
159,543939W,215090123308477,Reg_With_Device
160,030965B,255725179496869,Reg_With_Device
161,391668A,809655888652816,Reg_With_Device
162,561945U,1834230639933,Reg_With_Device
163,380226W,314712235786669,Reg_With_Device
164,137292V,255259724726620,Reg_With_Device
165,860242U,365848017132600,Reg_With_Device
166,769041P,390399041464942,Reg_With_Device
167,745135T,986305574091173,Reg_With_Device
168,165366E,203816024256996,Reg_With_Device
169,221304W,476080795250717,Reg_With_Device
170,897264E,714267237498385,Reg_With_Device
171,800082R,586199185754903,Reg_With_Device
172,765039R,834835945788913,Reg_With_Device
173,943300F,840086069131662,Reg_With_Device
174,050398X,705500153233081,Reg_With_Device
175,970472A,274140403915429,Reg_With_Device
176,154772H,701175186291206,Reg_With_Device
177,877357W,588937988825985,Reg_With_Device
178,300084O,773594104523369,Reg_With_Device
179,848316P,337440246128899,Reg_With_Device
180,338502V,986269828777778,Reg_With_Device
181,380248V,287360473276929,Reg_With_Device
182,349497Y,608358357129783,Reg_With_Device
183,570691Q,878366308525345,Reg_With_Device
184,354238Z,837093484665213,Reg_With_Device
185,595748R,790916604037364,Reg_With_Device
186,770273W,89351325316435,Reg_With_Device
187,660271X,79953174469426,Reg_With_Device
188,166012B,104020171963047,Reg_With_Device
189,785698T,410597539297783,Reg_With_Device
190,778339D,495654422034392,Reg_With_Device
191,996535B,263477476014162,Reg_With_Device
192,506470F,586909215095160,Reg_With_Device
193,460442A,100208878137343,Reg_With_Device
194,551044K,678212093054095,Reg_With_Device
